Policy_ID,Category,Policy_Name,Description,Applies_To,Effective_Date,Review_Cycle,Owner,Compliance_Level
HR038,Compliance,Whistleblower Policy,Employees can report misconduct confidentially,All Employees,2026-01-01,Annual,Compliance Team,High
HR039,Compliance,Anti-Bribery Policy,Bribery and corruption are strictly prohibited,All Employees,2026-01-01,Annual,Compliance Team,High
HR040,Privacy,Employee Privacy Policy,Employee personal information is protected,All Employees,2026-01-01,Annual,Compliance Team,High
HR041,Wellness,Employee Assistance Program Policy,Confidential counseling services are available,All Employees,2026-01-01,Annual,HR Department,Low
HR042,Wellness,Mental Health Policy,The organization promotes mental well-being,All Employees,2026-01-01,Annual,HR Department,Medium
HR043,Travel,International Travel Policy,International travel requires executive approval,Eligible Employees,2026-01-01,Annual,Finance,Medium
HR044,Dress Code,Dress Code Policy,Employees should maintain appropriate workplace attire,All Employees,2026-01-01,Annual,HR Department,Low
HR045,Communication,Social Media Policy,Employees should avoid sharing confidential company information online,All Employees,2026-01-01,Annual,Communications,Medium
HR046,Communication,Media Interaction Policy,Only authorized spokespeople may interact with the media,All Employees,2026-01-01,Annual,Communications,High
HR047,Training,Mandatory Compliance Training Policy,Employees must complete mandatory compliance courses,All Employees,2026-01-01,Annual,Learning Team,High
HR048,Probation,Probation Policy,New employees complete a six-month probation period,New Employees,2026-01-01,Annual,HR Department,Medium
HR049,Recognition,Employee Recognition Policy,Outstanding performance is recognized through formal programs,All Employees,2026-01-01,Annual,HR Department,Low
HR050,Records,Document Retention Policy,Employee records are retained according to legal requirements,HR Staff,2026-01-01,Annual,HR Department,High
